Timestamp,CPU_Perc,Mem_Usage
1780074700000,1.11%,67.58MiB / 7.563GiB
1780074702000,0.56%,68.32MiB / 7.563GiB
1780074704000,0.65%,68.14MiB / 7.563GiB
1780074707000,0.73%,67.99MiB / 7.563GiB
1780074709000,1.29%,67.25MiB / 7.563GiB
1780074712000,0.73%,67.49MiB / 7.563GiB
1780074714000,0.57%,68.05MiB / 7.563GiB
1780074716000,0.97%,67.4MiB / 7.563GiB
1780074718000,0.44%,67.79MiB / 7.563GiB
1780074721000,0.21%,68.03MiB / 7.563GiB
1780074723000,0.38%,67.53MiB / 7.563GiB
1780074725000,0.87%,67.84MiB / 7.563GiB
1780074727000,1.17%,67.59MiB / 7.563GiB
1780074730000,0.94%,67.98MiB / 7.563GiB
1780074732000,0.53%,67.46MiB / 7.563GiB
1780074734000,0.88%,67.79MiB / 7.563GiB
1780074736000,0.53%,68.52MiB / 7.563GiB
1780074738000,0.89%,67.76MiB / 7.563GiB
1780074741000,0.62%,68.32MiB / 7.563GiB
1780074743000,0.53%,67.94MiB / 7.563GiB
1780074745000,0.73%,67.8MiB / 7.563GiB
1780074747000,0.77%,67.69MiB / 7.563GiB
1780074750000,0.30%,68.14MiB / 7.563GiB
1780074752000,0.26%,68.01MiB / 7.563GiB
1780074754000,0.60%,67.9MiB / 7.563GiB
1780074757000,0.39%,67.96MiB / 7.563GiB
1780074759000,7.71%,67.7MiB / 7.563GiB
1780074762000,0.53%,68.31MiB / 7.563GiB
1780074764000,0.98%,68.38MiB / 7.563GiB
1780074766000,0.90%,68.31MiB / 7.563GiB
1780074768000,0.36%,68.23MiB / 7.563GiB
1780074771000,0.30%,67.79MiB / 7.563GiB
1780074773000,0.81%,68.11MiB / 7.563GiB
1780074775000,0.23%,68.09MiB / 7.563GiB
1780074777000,0.69%,67.77MiB / 7.563GiB
1780074780000,0.53%,68.12MiB / 7.563GiB
1780074782000,0.89%,67.67MiB / 7.563GiB
1780074784000,0.47%,67.9MiB / 7.563GiB
1780074786000,0.63%,68.22MiB / 7.563GiB
1780074788000,5.52%,77.62MiB / 7.563GiB
1780074791000,0.54%,68.27MiB / 7.563GiB
1780074793000,0.77%,67.94MiB / 7.563GiB
1780074795000,0.28%,68.02MiB / 7.563GiB
1780074797000,0.55%,67.75MiB / 7.563GiB
1780074800000,0.40%,68.06MiB / 7.563GiB
1780074802000,0.49%,68.35MiB / 7.563GiB
